Site	Transmitter	Active	DX (m)	DY (m)	Polarisation	Antenna	Height (m)	Azimuth (°)	Mechanical Downtilt (°)	Main Calculation Radius (m)	Main Propagation Model	Transmission Loss (dB)	Reception Loss (dB)	Noise Figure (dB)	Hexagon groups	Hexagon radius (m)	Comments	TMA Equipment	Feeder Equipment	BTS Equipment	Transmission Feeder Length (m)	Reception Feeder Length (m)	Receiver antenna diversity gain (dB)	Miscellaneous Transmission Losses (dB)	Miscellaneous Reception Losses (dB)	Extended Calculation Radius (m)	Extended Propagation Model	Main Resolution (m)	Extended Resolution (m)	Additional Electrical Downtilt (°)	Number of Transmission Antenna Ports	Number of Reception Antenna Ports	Transmitter Type	COVERAGELAYER	BORDERCOORDINATION	Diversity	CoverageReported	PatternType	Optical	PARAMITRISATION_CLASS
BTS7	BTS7/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS7	BTS7/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS8	BTS8/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS8	BTS8/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS8	BTS8/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS9	BTS9/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS9	BTS9/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS9	BTS9/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS10	BTS10/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS10	BTS10/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS10	BTS10/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS11	BTS11/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS11	BTS11/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS11	BTS11/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS12	BTS12/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS12	BTS12/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS12	BTS12/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS13	BTS13/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS13	BTS13/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS13	BTS13/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS14	BTS14/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS14	BTS14/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS14	BTS14/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS15	BTS15/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS15	BTS15/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS15	BTS15/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS16	BTS16/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS16	BTS16/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS16	BTS16/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS17	BTS17/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS17	BTS17/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS17	BTS17/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS18	BTS18/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS18	BTS18/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS18	BTS18/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS19	BTS19/L1	True	0	0	V	80010543|X|60|6.3|08|26	20	0	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS19	BTS19/L2	True	0	0	V	80010543|X|60|6.3|08|26	20	120	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
BTS19	BTS19/L3	True	0	0	V	80010543|X|60|6.3|08|26	20	240	0	5000	vie_sls	0	0	0		2000		LTE Standard TMA			0	0	0	0	0	15000	vie_sls	10	20	0	2	2	Intra-network (Server and Interferer)	Macro	NoCoord	X	True	Sector	False	Urban	
